12.14.2021|2836868|2775991|50351|10526
12.15.2021|237|565|100|10193
12.16.2021|289|380|47|10095
12.17.2021|582|494|74|10167
12.18.2021|291|523|106|9924
12.19.2021|203|395|64|9729
12.20.2021|263|390|45|9592
12.21.2021|168|372|10|9384
12.22.2021|261|395|122|9238
12.23.2021|288|270|65|9251
12.24.2021|310|227|69|9321
12.25.2021|433|369|137|9376
12.26.2021|433|283|13|9522
12.27.2021|318|255|11|9579
12.28.2021|421|248|2|9750
12.29.2021|889|214|28|10418
12.30.2021|1623|256|133|11772
12.31.2021|2961|481|132|14233
1.1.2022|3617|468|43|17374
1.2.2022|4600|535|25|21418
1.3.2022|4084|497|16|24992
1.4.2022|5434|611|18|28809
1.5.2022|10775|605|58|39974
1.6.2022|17220|616|81|56561
1.7.2022|21819|973|129|77369
1.8.2022|26458|1656|265|102017
1.9.2022|28707|2579|15|128114
1.10.2022|33169|3725|145|157526
1.11.2022|28007|4471|219|181016
1.12.2022|32246|5063|144|208164
1.13.2022|34021|4694|82|237387
1.14.2022|37207|9027|81|265509
1.15.2022|39004|23613|43|280813
1.16.2022|37154|30037|50|287856
1.17.2022|37070|33940|23|290938
1.18.2022|28471|34892|34|284458
1.19.2022|22958|36611|82|270728
1.20.2022|31173|26298|110|275364
1.21.2022|32744|16385|156|291618
1.22.2022|30552|41471|97|280619
1.23.2022|29828|36763|67|273580
